	treap		insertion	skip .5		skip .1		skip .9
10	0.011463	0.013286	0.013057	0.014415	0.025027
11	0.013803	0.014362	0.016288	0.016875	0.024933
12	0.015502	0.015445	0.018053	0.022064	0.029283
13	0.019297	0.01667		0.023522	0.031561	0.034483
14	0.023348	0.017724	0.028015	0.040854	0.038057
15	0.027812	0.018551	0.032459	0.051121	0.043305
16	0.033223	0.020037	0.037316	0.060217	0.056595
17	0.035805	0.022833	0.050392	0.076956	0.100369
18	0.054008	0.025921	0.074365	0.129439	0.112547
19	0.071962	0.026114	0.10788		0.193037	0.131961
20	0.103493	0.028638	0.128744	0.241261	0.202418
21	0.125791	0.033421	0.162923	0.322986	0.189485
22	0.160808	0.036698	0.192961	0.389135	0.21756
23	0.167074	0.0403515	0.219085	0.425176	0.276114
24	0.211255	0.044005	0.272414	0.584788	0.351351
25	0.319427	0.0476585	0.366722	0.747744	0.418449
26	0.322326	0.051312	0.472152	0.983128	0.490971
27	0.387716	0.0549655	0.570167333	1.170226667	0.559877
28	0.411445333	0.058619	0.670036333	1.369396667	0.629687
29	0.445589833	0.0622725	0.769905333	1.568566667	0.699497
30	0.479734333	0.065926	0.869774333	1.767736667	0.769307

