	skip .5		skip .1		skip .9
10	0.946289	0.129883	8.54395
11	1.01807		0.117676	9.09961
12	0.989502	0.117676	8.93091
13	1.00244		0.110962	9.08887
14	0.994446	0.111877	8.99316
15	1.00058		0.110901	9.08112
16	1.009		0.112381	8.98872
17	0.999382	0.111526	8.97937
18	0.99649		0.110931	9.0024
19	0.999523	0.110699	8.99918
20	0.998685	0.110924	8.99057
21	0.999082	0.111013	8.99354
22	0.997857	0.110861	8.98179
23	0.99591		0.110613	8.96345
24	0.992225	0.11025		8.92864
25	0.984654	0.109418	8.86175
26	0.969547	0.10768		8.72189

